ticker,Volatility,VolumeAccum,VolumeBreakout,MAtrend1,MAtrend2,PriceBreakout,EMA_score,MACD_score,ADX_score,FA_PE_ROE,score,SVM_boosted
VPI,2,0,2,1,2,2,2,3,0,0,14,0
TLG,2,2,2,1,0,2,2,3,0,0,14,0
BID,2,0,0,1,2,2,2,3,0,0,12,0
HPG,0,0,2,1,2,2,2,3,0,0,13,1
TCH,0,0,2,1,2,2,2,3,0,0,13,1
HSG,0,0,2,1,2,2,2,3,0,0,13,1
NKG,0,0,2,1,2,2,2,3,0,0,13,1
PNJ,2,0,2,1,2,0,2,3,0,0,12,0
VCB,2,0,0,1,2,2,2,3,0,0,12,0
IMP,2,0,0,1,2,2,2,3,0,0,12,0
VNM,2,0,0,1,2,0,2,3,0,0,10,0
MSB,0,0,0,1,2,2,2,3,0,0,10,0
DXG,0,0,0,1,2,2,2,3,0,0,11,1
BMP,2,0,0,1,0,2,2,3,0,0,10,0
MWG,0,0,0,1,2,2,2,3,0,0,10,0
GMD,0,0,0,1,2,2,2,3,0,0,10,0
PDR,0,0,0,1,2,2,2,3,0,0,11,1
VCI,0,0,0,1,2,2,2,3,0,0,10,0
NT2,0,0,0,1,2,2,2,3,0,0,11,1
SSI,0,0,0,1,2,2,2,3,0,0,11,1
VND,0,0,0,1,2,2,2,3,0,0,11,1
KBC,0,0,0,1,2,2,2,3,0,0,11,1
DXS,0,0,0,1,2,2,2,3,0,0,11,1
KOS,0,2,0,1,2,2,2,0,0,0,9,0
VIB,0,0,0,1,2,0,2,3,0,0,8,0
BSI,0,0,0,1,2,0,2,3,0,0,8,0
LPB,0,0,0,1,2,0,2,3,0,0,8,0
VHM,0,0,0,1,2,0,2,3,0,0,8,0
DSE,0,0,0,1,2,0,2,3,0,0,9,1
CTG,0,0,0,1,2,2,2,0,0,0,7,0
MSN,0,0,0,1,2,2,2,0,0,0,7,0
SHB,0,0,0,1,2,2,2,0,0,0,7,0
HDB,0,0,0,1,2,2,2,0,0,0,7,0
MBB,0,0,0,1,2,2,2,0,0,0,7,0
ANV,0,0,0,1,2,2,2,0,0,0,8,1
BCM,2,2,0,0,2,0,1,0,0,0,7,0
PVT,2,0,0,1,2,0,2,0,0,0,8,1
GAS,2,2,0,0,2,0,1,0,0,0,7,0
POW,0,0,0,1,2,2,2,0,0,0,8,1
KDC,2,2,0,0,0,0,0,3,0,0,7,0
VHC,2,0,0,1,2,0,2,0,0,0,7,0
SBT,0,0,0,1,2,2,2,0,0,0,8,1
SCS,2,2,0,0,0,0,0,3,0,0,7,0
PVD,2,0,0,1,2,0,2,0,0,0,8,1
KDH,0,0,0,1,2,2,2,0,0,0,8,1
HCM,0,0,0,1,2,2,2,0,0,0,8,1
HHV,0,0,0,1,2,2,2,0,0,0,8,1
CMG,0,2,0,1,2,0,2,0,0,0,8,1
DIG,0,0,0,1,2,2,2,0,0,0,8,1
CTD,2,2,0,0,0,0,0,3,0,0,7,0
CTR,2,2,0,0,0,0,0,3,0,0,7,0
CTS,0,0,0,1,2,2,2,0,0,0,8,1
GEE,0,2,0,1,2,0,1,0,0,0,7,1
ACB,0,0,0,1,2,0,2,0,0,0,5,0
VIX,0,0,0,1,2,0,2,0,0,0,6,1
NAB,0,0,0,1,2,0,2,0,0,0,5,0
VPB,0,0,0,1,2,0,2,0,0,0,5,0
CII,0,0,0,1,2,0,2,0,0,0,6,1
VRE,0,0,0,1,2,0,2,0,0,0,6,1
BVH,0,0,0,1,2,0,2,0,0,0,5,0
TPB,0,0,0,1,2,0,2,0,0,0,5,0
TCB,0,0,0,1,2,0,2,0,0,0,5,0
SSB,0,0,0,1,2,0,2,0,0,0,5,0
FPT,2,0,0,0,0,0,0,3,0,0,5,0
STB,0,0,0,1,2,0,2,0,0,0,5,0
VIC,0,0,0,1,2,0,2,0,0,0,5,0
VJC,0,0,0,1,2,0,2,0,0,0,5,0
GVR,2,0,0,0,2,0,1,0,0,0,6,1
VSC,0,0,0,1,2,0,2,0,0,0,6,1
VCG,0,0,0,1,2,0,2,0,0,0,6,1
PAN,0,0,0,1,2,0,2,0,0,0,6,1
SJS,0,0,0,1,2,0,2,0,0,0,6,1
HDC,0,0,0,1,2,0,2,0,0,0,6,1
VGC,0,0,0,1,2,0,2,0,0,0,6,1
PPC,2,0,0,0,0,0,0,3,0,0,6,1
HAG,0,0,0,1,2,0,2,0,0,0,6,1
EIB,0,0,0,1,2,0,2,0,0,0,5,0
EVF,0,0,0,1,2,0,2,0,0,0,5,0
DCM,0,0,0,1,2,0,2,0,0,0,6,1
DPM,0,0,0,1,2,0,2,0,0,0,6,1
FTS,2,0,0,0,2,0,1,0,0,0,6,1
HT1,0,0,0,1,2,0,2,0,0,0,6,1
HDG,0,0,0,1,2,0,2,0,0,0,6,1
PC1,0,0,0,1,2,0,2,0,0,0,6,1
NLG,0,0,0,1,2,0,2,0,0,0,6,1
OCB,0,0,0,1,2,0,2,0,0,0,5,0
PLX,2,0,0,0,2,0,0,0,0,0,4,0
SAB,2,2,0,0,0,0,0,0,0,0,4,0
SZC,2,2,0,0,0,0,0,0,0,0,5,1
BWE,2,0,0,0,2,0,0,0,0,0,4,0
DGW,2,0,0,0,0,0,2,0,0,0,5,1
DBC,2,2,0,0,0,0,0,0,0,0,5,1
SIP,2,2,0,0,0,0,0,0,0,0,4,0
GEX,0,0,0,1,2,0,1,0,0,0,5,1
PTB,2,0,2,0,0,0,0,0,0,0,4,0
DGC,2,0,0,0,0,0,0,0,0,0,2,0
FRT,2,0,0,0,0,0,0,0,0,0,2,0
PHR,0,2,0,0,0,0,0,0,0,0,3,1
REE,2,0,0,0,0,0,0,0,0,0,2,0
VTP,0,2,0,0,0,0,0,0,0,0,2,0
